season,episode_number,title,airdate,rating,total_votes,desc,cast
1,1,Minimum Viable Product,6 Apr. 2014,7.7,2765,"Richard is a computer programmer. He has to choose between a $10 million deal with Gavin Belson and a $200,000 deal with Peter Gregory, in exchange for his cooperation to make the idea of a super compressing algorithm change the world.",[None]
1,2,The Cap Table,13 Apr. 2014,7.7,2229,"Richard hires Jared to design a business plan. Big Head is asked to work for Gavin Belson, where he discovers that Hooli has stolen the Pied Piper algorithm and calls it Nucleus. Meanwhile Richard struggles to get his money from Gregory.",[None]
1,3,Articles of Incorporation,20 Apr. 2014,8.0,2145,"The guys find themselves in trouble with their company name when they find out it's already taken. So whilst Richard tries to find a solution, Erlich searches for a new name in another dimension of his consciousness.",[None]
1,4,Fiduciary Duties,27 Apr. 2014,7.7,1996,"Richard drunkenly promises to make Erlich a board member, which he regrets the next morning. Big Head finds others at Hooli, who like him, have made careers out of doing nothing. Richard struggles to put Pied Piper's vision into words.",[None]
1,5,Signaling Risk,4 May 2014,8.3,2045,"Now that Pied Piper is the official company name, Erlich wants a logotype to go with it so he hires a very unexpected artist in for the job. Meanwhile Richard gets a tighter deadline for the project after a simple mistake.",[None]
1,6,Third Party Insourcing,11 May 2014,8.4,2064,"Richard comes across a problem in the code writing and hires Kevin, a young kid, to write the code for him.",[None]
1,7,Proof of Concept,18 May 2014,8.5,2054,"Richard has trouble getting Pied Piper ready in time for the TechCrunch Disrupt, while Erlich realizes he slept with the wife of one of the judges of the contest.",[None]
1,8,Optimal Tip-To-Tip Efficiency,1 Jun. 2014,9.3,3710,Pied Piper makes it to the next stage of Disrupt but runs into trouble with Hooli's presentation. The guys break out into a ridiculous argument and Richard tries to pull Pied Piper together before the big presentation.,[None]
2,1,Sand Hill Shuffle,12 Apr. 2015,8.2,1939,Monica deals with her new boss; Richard makes a decision about the company's future.,[None]
2,2,Runaway Devaluation,19 Apr. 2015,7.9,1664,"Richard and the guys struggle to find a backer as they face legal and financial woes. Meanwhile, an old enemy pays Richard a visit.",[None]
2,3,Bad Money,26 Apr. 2015,8.0,1660,"While considering Gavin's proposal, Richard is approached by a billionaire.",[None]
2,4,The Lady,3 May 2015,7.8,1625,Richard butts heads with Erlich over a prospective hire; Dinesh and Gilfoyle grow suspicious.,[None]
2,5,Server Space,10 May 2015,8.0,1612,Gavin's interference causes Pied Piper to struggle with securing their expansion.,[None]
2,6,Homicide,17 May 2015,8.7,1880,Monica encourages the guys to pounce on an opportunity; Erlich reconnects with a former mentee.,[None]
2,7,Adult Content,24 May 2015,8.4,1634,"With the Pied Piper team fielding job offers, Richard faces the prospect of folding.",[None]
2,8,White Hat/Black Hat,31 May 2015,8.2,1684,Richard accidentally sparks a feud that leads him to become paranoid about security.,[None]
2,9,Binding Arbitration,7 Jun. 2015,8.7,1741,"Erlich demands to be put on stand as Pied Piper and Hooli enter Arbitration. Richard faces a moral dilemma now that he realizes that Hooli's claim may have successful potential. Meanwhile back at Pied Piper headquarters, Jared, Dinesh and Gilfoyle question a profound theory and its affiliation to their live stream.",[None]
2,10,Two Days of the Condor,14 Jun. 2015,9.2,2383,"The verdict on Pied Piper's fate coincides with a startling real-life drama that makes their livestream immensely popular, and emotions run high as the gang tries to keep the company together.",[None]
